Name,Type,Attunement,Price,Source,
Adventurer's Ring,Ring,-,250 GP,DMG,
Armor of Gleaming,Armor,-,B+100 GP,DMG,
Aereni Mask,Wondrous Item,Attunement,250 Gp,EB,
Battle Rod,Rod,-,100 GP,EB,
Bead of Nourishment,Wondrous Item,-,50 GP,DMG,
Bead of Refreshment,Wondrous Item,-,50 GP,DMG,
Boots of False Tracks,Wondrous Item,Attunement,100 GP,DMG,
Candle of the Deep,Wondrous Item,-,50 GP,DMG,
Cast-Off Armor,Armor,-,B+100 GP,DMG,
Charlatan's Die,Wondrous Item,Attunement,100 GP,DMG,
Charlatan's Glove,Wondrous Item,-,100 GP,EB,
Cloak of Billowing,Wondrous Item,-,100 GP,DMG,
Cloak of Many Fashions,Wondrous Item,-,100 GP,DMG,
Clockwork Amulet,Wondrous Item,-,100 GP,DMG,
Clothes of Mending,Wondrous Item,-,100 GP,DMG,
Dark Shard Amulet,Wondrous Item,Attunement,100 GP,DMG,
Dragonmark Channel,Wondrous Item,Attunement,250 GP,EB,
Dread Helm,Wondrous Item,-,100 GP,DMG,
Drybrooch,Wondrous Item,,100 GP,EB,
Duster,Wand,-,100 GP,EB,
Ear Horn of Hearing,Wondrous Item,-,100 GP,DMG,
Enduring Spellbook,Wondrous Item,-,100 GP,DMG,
Ersatz Eye,Wondrous Item,-,100 GP,DMG,
Ghallanda Cauldron,Wondrous Item,Attunement,250 GP,EB,
Hat of Vermin,Wondrous Item,-,100 GP,DMG,
Hat of Wizardry,Wondrous Item,Attunement,100 GP,DMG,
Heward's Handy Spice Pouch,Wondrous Item,-,100 GP,DMG,
Horn of Silent Alarm,Wondrous Item,-,100 GP,DMG,
Instrument of Illusions,Wondrous Item,-,100 GP,DMG,
Instrument of Scribing,Wondrous Item,-,100 GP,DMG,
Integrated Tool,Wondrous Item,-,100 GP,EB,
LampLighter,Wand,-,100 GP,EB,
Lock of Trickery,Wondrous Item,-,100 GP,DMG,
Manifold Tool,Wondrous Item,Attunement,100 GP,EFotA,
Mask of Changed Appearance,Wondrous Item,-,100 GP,DMG,
Mechanical Wonder,Wondrous Item,-,Varies,DMG,
Moon-Touched Sword,Weapon,-,B+100 GP,DMG,
Mystery Key,Wondrous Item,-,50 GP,DMG,
Mythallar Bracelet,Wondrous Item,-,100 GP,DMG,
Orb of Direction,Wondrous Item,-,100 GP,DMG,
Orb of Time,Wondrous Item,-,100 GP,DMG,
Perfume of Bewitching,Wondrous Item,-,50 GP,DMG,
Pipe of Smoke Monsters,Wondrous Item,-,100 GP,DMG,
Pole of Angling,Wondrous Item,-,100 GP,DMG,
Pole of Collapsing,Wondrous Item,-,100 GP,DMG,
Pot of Awakening,Wondrous Item,-,50 GP,DMG,
Potion of Climbing,Potion,-,50 GP,DMG,
Potion of Comprehension,Potion,-,50 GP,DMG,
Potion of Healing,Potion,-,Varies,DMG,
Prosthetic Limb,Wondrous Item,-,100 GP,DMG,
Rival Coin,Wondrous Item,-,100 GP,DMG,
Rope of Mending,Wondrous Item,-,100 GP,DMG,
Ruby of the War Mage,Wondrous Item,Attunement,100 GP,DMG,
Shield of Expression,Armor,-,B+100 GP,DMG,
Silvered Weapon,Weapon,-,B+100 GP,DMG,
Smoldering Armor,Armor,-,B+100 GP,DMG,
Spark,Wondrous Item,-,100 GP,EB,
Spell Scroll,Scroll,-,Varies,DMG,
Staff of Adornment,Staff,-,100 GP,DMG,
Staff of Birdcalls,Staff,-,100 GP,DMG,
Staff of Flowers,Staff,-,100 GP,DMG,
Sylvan Talon,Weapon,Attunement,B+100 GP,DMG,
Talking Doll,Wondrous Item,Attunement,100 GP,DMG,
Talking Wand,Wand,-,100 Gp,EB,
Tankard of Sobriety,Wondrous Item,-,100 GP,DMG,
Thurimbar Rod,Musical Instrument,-,100 Gp,EB,
Uul'kur,Wondrous Item,-,250 GP,EB,
Veteran's Cane,Wondrous Item,-,100 GP,DMG,
Vola'khesh,Wondrous Item,-,250 GP,EB,
Walloping Ammunition,Weapon,-,50 GP,DMG,
Wand of Conducting,Wand,-,100 GP,DMG,
Wand of Pyrotechnics,Wand,-,100 GP,DMG,
War Staff,Staff,Attunement,100 GP,EB,
Freerunner's Armor,Armor (padded),No,150 GP,GSB,
Bulletin Buckler,Armor (shield),No,,GSB,
Sun and Moon Shield,Armor (shield),No,,GSB,
Bath Potion,Potion,No,,GSB,
Bloody Marilith,Potion,No,,GSB,
Celestial Sunrise Potion,Potion,No,,GSB,
Chicken Tonic,Potion,No,,GSB,
Djinn and Tonic,Potion,No,,GSB,
Mysterious Potion,Potion,No,,GSB,
Oil of Tattoos,Potion,No,,GSB,
Orostead Iced Tea,Potion,No,,GSB,
Sensory Snifter,Potion,No,,GSB,
Shifter's Shine,Potion,No,,GSB,
Snake Oil,Potion,No,,GSB,
Wispy Sour,Potion,No,,GSB,
Dealmaker's Ring,Ring,No,,GSB,
Doodle Ring,Ring,No,,GSB,
Pair of Tiny Violin Rings,Ring,No,,GSB,
Ring of Busy Hands,Ring,No,,GSB,
Ring of Busy Hands,Ring,No,,GSB,
Ring of Gestures,Ring,No,,GSB,
Ring of Names,Ring,No,,GSB,
Ring of Perching,Ring,No,,GSB,
Ring of Roses,Ring,No,,GSB,
Ring of Silverware,Ring,No,,GSB,
Ring of the Candle Keeper,Ring,No,,GSB,
Ring of the Distant Digit,Ring,Yes,,GSB,
Ring of the Fowl Sentinel,Ring,No,,GSB,
Ring of the Printless,Ring,No,,GSB,
Rings of the Secret Scribe,Ring,No,,GSB,
Status Signets,Ring,No,,GSB,
Vial Ring,Ring,No,,GSB,
Instigator's Rod,Rod,No,,GSB,
Periscope Rod,Rod,No,,GSB,
Worker's Wondrous Ladder,Rod,No,,GSB,
Scroll of Exclamation,Scroll,No,,GSB,
Scroll of Film,Scroll,No,,GSB,
Scroll of Instant Cookies,Scroll,No,,GSB,
Scroll of Miraculous Mail,Scroll,No,,GSB,
Hedgewitch's Gardening Cane,Staff,No,,GSB,
Stalwart Staff,Staff,No,,GSB,
Borbos Joyous Wand of Color,Wand,No,,GSB,
Cherry Blossom Wand,Wand,No,,GSB,
Stick of Shaking,Wand,No,,GSB,
Wand of Bubbles,Wand,No,,GSB,
Wand of Torchlight,Wand,No,,GSB,
Bird's-Eye Bolt,Weapon (an arrow or bolt),No,,GSB,
Fanfare Ammunition,Weapon (an arrow or bolt),No,,GSB,
Scarring Axe,Weapon (any axe),No,,GSB,
Bonfire Blade,Weapon (any sword),No,,GSB,
Weapon of Showmanship,Weapon (any),No,,GSB,
Torpedo Arrow,Weapon (arrow),No,,GSB,
Rope Caster,"Weapon (crossbow, hand)",No,,GSB,
Intrepid Knife,Weapon (dagger),Yes,,GSB,
Leaf Carver,Weapon (dagger),No,,GSB,
Hammer of Nails,Weapon (light hammer),No,,GSB,
Redsmith Hammer,Weapon (light hammer),No,,GSB,
Campers Crutch,Weapon (mace),No,,GSB,
Silver Star Cane,Weapon (rapier),No,,GSB,
Light Sling,Weapon (sling),No,,GSB,
Abjurers Gilder,Wondrous Item,Yes-Wizard,,GSB,
Alcoholock,Wondrous Item,No,,GSB,
Amulet of Beginner's Luck,Wondrous item,No,,GSB,
Aurora Dust,Wondrous Item,No,,GSB,
Bag of Bellstones,Wondrous Item,No,,GSB,
Ball of Wild Earth,Wondrous Item,No,,GSB,
Bands of the Found and Lost,Wondrous Item,No,,GSB,
Bard in a Box,Wondrous Item,No,,GSB,
Bell of Alarm,Wondrous Item,No,,GSB,
Belltower Triangle,Wondrous Item,No,,GSB,
Belt of Honesty,Wondrous Item,No,,GSB,
Bird of a Feather,Wondrous Item,No,,GSB,
Bonfire Candle,Wondrous Item,No,,GSB,
Bonfire Charm,Wondrous Item,No,,GSB,
Book of Instant Copying,Wondrous Item,No,,GSB,
Borbos's Marvelous Magic Marker,Wondrous Item,No,,GSB,
Bubble Collar,Wondrous Item,No,,GSB,
Bubbling Bathbombs,Wondrous Item,No,,GSB,
Bullfrog Totem,Wondrous Item,No,,GSB,
Calling Cans,Wondrous Item,No,,GSB,
Campfire Cord,Wondrous item,No,,GSB,
Candleflame Helm,Wondrous Item,No,,GSB,
